tr isim,os_isim 
Faika, فاءقه
Faik, فاءق
Fahriye, فخریه
Jale, ژاله
Itır, عطر
Irmak, ايرماك
Ezgi, ازكى
Evdegül, أوده كل
Ethem, اَدهم
Esingül, اسينكل
Esat, أسعد
Erva, اروع
Ersoy, ارصوى
Ender, اندر
Ersin, آرسن
Ersen, ارسن
Ergün, اركون
Erkin, اركين
Ergin, اركين
Erdi, اردى
Ercüment, ارجمند
Eralp, ارآلپ
Enver, انور
Enis, اَنیس
Engin, انكين
Emrullah, امرالله
Emrah, امراح
Emirhan, اميرحان
Emircan, اميرجان
Emil, اميل
Emetullah, امتالله
Elida, اليدا
Elçin, الچين
Elanur, الانور
Ekmeleddin, اكملالدّين
Ekmel, اكمل
Egemen, اكه من
Egehan, اكه خان
Efsane, افسانه
Efehan, أفه خان
Efdal, افضل
Ediz, اديز
Edibe, ادیبه
Edip, ادیب
Ecrin, اجرين
Ebubekir, ابوبكر
Ebu Huzeyfe, أبوحذيفه
Duygu, دويغو
Durukan, دوروقان
Duru, دورو
Dorukhan, طوروق خان
Döndü, دوندو
Doğukan, دوغوقان
Doğanay, دوغاناى
Dilçem, ديلچم
Dilay, ديلاى
Dilaver, دلاور
Dilanur, ديلانور
Dilan, دیلان
Didem, ديدم
Derviş, درويش
Demirtaş, دميرطاش
Demirhan, دميرخان
Demir, دمير
Demet, دمت
Defne, دفنه
Çisem, چيسم
Çinuçen, چينوچن
Çilem, چيلم
Çetinkaya, چتين قايا
Çetin, چتين
Çeşminaz, چشم ناز
Çeliksu, چليكصو
Çelebi, چلبی
Çakır, چاقير
Cağatay, چاغاتاى
Canberk, جان برك
Civan, جوان
Ceylin, جيلين
Ceyhun, جیحون
Ceyhan, جيحان
Cevat, جواد
Cemre, جمره
Cem, جم
Cebrail, جبراءيل
Cebel, جبل
Caner, جانر
Cahide, جاهده
Beşire, بشيره
Beşir, بَشیر
Buse, بوسه
Bünyamin, بِنیامین
Bulut, بولوت
Buğra, بغرا
Buğlem, بوغلم
Buğçe, بوغچه
Birsen, بیرسَن
Binnaz, بيگناز
Binali, بن على
Bilgen, بيلكن
Bilgehan, بيلكه خان
Bilge, بيلكه
Bezen, بزن
Beyzanur, بيضانور
Beytullah, بيت الله
Beyda, بيدا
Betilgül, بتيل كل
Betil, بتيل
Bessem, بسّام
Besiye, بسيه
Besim, بَسیم
Berra, برّا
Berke, بركه
Berivan, بريوان
Bergüzar, بركزار
Berfin, بَرفین
Beray, براى
Berat, بَرات
Bera, برا
Bengü, بنكو
Bengisu, بنكيصو
Beliz, بليز
Behram, بَهرام
Behiye, بِهیه
Behcet, بهجت
Bedrullah, بدرالله
Bedirhan, بدرخان
Bedir, بدر
Bediha, بديخه
Bedih, بديخ
Bayram, بايرام
Bayezid, بايزيد
Baturalp, باتورالپ
Battal, بطّال
Başak, باشاق
Barış, باريش
Barbaros, بارباروس
Bahtiyar, بختیار
Bahriye, بحريه
Bahir, باهر
Azra, عَذرا
Azmi, عظمى
Azime, عظیمه
Azim, عظیم
Ayselin, آيسلين
Aykan, آيقان
Aygül, آی‌گل
Aydoğan, آىدوغان
Aydan, آیدان
Aycan, آيجان
Ayça, آيچه
Aybüke, آىبوكه
Aybeniz, آيبڭز
Aybala, آىبالا
Avni, عونى
Atike, عتيقه
Atik, عتيق
Atahan, آتاخان
Ataberk, آتابرك
Ata, آتا
Asuhan, آسوخان
Asude, آسوده
Asu, آسو
Aslınur, آصلى نور
Aslan, آصلان
Aşkın, آشقين
Hira, خرا
Asıf, عاصِف
Asel, عسل
Arda, آردا
Anıl, آنیل
Amine, آمنه
Amber, عنبر
Alptuğ, آلپطوغ
Alperen, آلپ ارن
Alpay, آلپای
Alpaslan, آلپ آصلان
Alparslan, آلپ آرصلان
Alkan, آلقان
Alkame, علقمه
Alis, آلس
Alim, عالَم
Aknur, آقنور
Akın, آقين
Akil, عاقل
Akile, عاقله
Afranur, افرانور
Ada, آدا
Acun, آجون
Açelya, آچليا
Abid, عَبید
Abdurrezzak, عبد الرزّاق
Abdulmelik, عبدالمَلِک
Abdulğafur, عبدالغفور
Abdimenaf, عبدمناف
Hasene, حسنه
Hazal, حزال
Ayhan, آيخان
Beşer, بشر
Hürrem, خُرم
Kezik, كذيك
Bircan, برجان
Nesimi, نسيمي
Tazegül, تازه كل
Güher, غوهر
Hayrunnisa, خیرالنسا
Sühan, سخن
Sinem, سئنم
Ragıp, راغب
Sariye, سارئه
Muttalip, مطّلب
Hayrullah, خیرالله
Kevser Rüveyda, كوثر رويده
Şahinaz, شاهيناز
Nahide, ناحيده
Hikmet, حِکمت
Ulviye, علويه
Münevvere, منوّره
Ahu Meryem, آهو مريم
Ali Eymen, على ايمن
Gülümser, كولومسر
Erdal, اردال
Gülüşan, كلوشان
Fincan, فنجان
Bülbül, بلبل
Esin, اسين
Baran, باران
Şencan, شنجان
Beril, بريل
Rengin, رنكين
Funda, فوندا
Nilgün, نیلگون
Zülfikar, ذوالفقار
Gülsever, كولسور
Süreyya, ثریا
Çağrı, چاغرى
Ümit, امید
Oktay, اُکتای
Alp, آلپ
Şatiye, شاطيه
Serbülent, سربلند
Erdem, اردم
Elisa, اَلیسا
Selcan, سلجان
Sümeyra, سميرا
Mürşah, مورشاه
Süveyda, سويدا
Hayal, خيال
Dudu, دودو
Çınar, چينار
Ekin, اكين
Gökşin, كوكشن
Lâl Verdâ, لعل وردا
Ergül, اركول
Kader, قدر
Berrin, برّين
Mansur, منصور
Aykut, آيقوت
Devrim, دوريم
Alev, آلو
Gülşen, كولشن
Başar, بشار
Sonay, صوڭآى
Mesnet, مسند
Mevlude, مولوده
Volkan, ولقان
Yahya, یحیی
Nurdane, نوردانه
Hüsniye, حُسنیه
Gültekin, كلتكين
Durmuş, دورموش
Eren, ارن
Eyyup, ايّوب
Ferruh, فرّوح
Şengül, شنكل
Turaç, طوراچ
Namık, نامق
Mehpare, مَهپاره
Tuğberk, طوغبرك
Tuğçe, طوغچه
Sevilay, سويلآى
Yalçın, يالچين
Tuncay, تونجاى
Yüksan, يوكصن
Orçun, اورچون
Miraç, معراج
Bilgin, بيلكين
Fahrettin, فخرالدین
Nebahat, نباهت
Armağan, ارمغان
Birhan, بيرخان
Esen, اسن
Babür, بابور
Nezahat, نزاهت
Aysu, آیسو
Bartu, بارتو
Ecem, اجهم
Nevil, نويل
Ercan, ارجان
Batuhan, باتوخان
Altuğ, آلطوغ
Ceyran, جيران
Ceylan, جيلان
Mesure, ماءثوره
Asaf, آصف
Ziya, ضیا
Billur, بللور
Şahika, شاهقه
Alaattin, علاءالدین
Abdulbaki, عبدالباقی
Abdussamed, عبدالصّمد
Cenk, جنك
Dursun, دورسون
Fethi, فتحي
Gülfer, كلفر
Halim, حلیم
Hamdi, حمدي
Hasbi, حسبي
Hasip, حَسیب
Hürüşan, خروشان
İklim, اقليم
Kani, كاني
Mahbure, محبوبه
Melih, مليح
Melik, ملك
Mesude, مسعوده
Metehan, مهتهحان
Nadir, نادر
Nail, نائل
Nazif, نظيف
Nazmi, نظمي
Necmi, نَجمه
Nezih, نَزیه
Rahmiye, رحمىه
Ruhi, روحي
Saim, صائم
Süheyl, سُهیل
Sümbül, سنبل
Zahit, زاهد
Zeki, ذكي
İzzettin, عِزالدین
Mahzun, محزون
Nafi, نافع
Nejat, نجاة
Reşat, رَشاد
Reşit, رَشید
Seleme, سلمة
Seyfeddin, سيف الدين
Suat, سُعاد
Üsame, أسامة
Zarif, ظریف
Ziyad, زياد
Zübeyir, زبير
Abdülaziz, عبد العزيز
Abdülcabbar, عبد الجبّار
Abdulfettah, عبد الفتّاح
Abdulgaffar, عبد الغفّار
Abdulgafûr, عبد الغفور
Abdulgani, عبد الغنيّ
Abdulhak, عبد الحقّ
Abdülhakim, عبد الحكيم
Abdülkâdir, عبد القادر
Abdülkerim, عبد الكريم
Abdulmecit, عبد المجيد
Abdulvahap, عبد الوهّاب
Abdussamet, عبد الصمد
Abdusselam, عبد السلام
Alaaddin, علاء الدين
Aleyna, علينا
Atiye, آتیه
Baha, بهاء
Bahattin, بَهاءالدین
Gani, غنيّ
Hadi, هادی
Hansa, خَنْسَاء
Hüsamettin, حسام الدين
Cumhuriyet, جمهوريت
Mümin, مؤمن
Ahmed, أحمد
Yagmur, ياغمور
Fatmasu, فاطمة صو
Fatıma, فاطمة
Zühre, زوهرة
Ozge, اوزكه
Resmiye, رسمیة
Omer, عمر
Gulsen, كولشن
Gulşen, كولشن
Niymet, نعمت
Ummuhan, امّ خان
ummahan, امّ خان
Ebu Zer, أبو ذر
Abuzer, أبو ذر
Ebuzer, ابوذر
Cihad, جهاد
Sebahattin, صباحالدّين
Nazli, نازلى
Öztekin, اوزتكين
Alirıza, علي رضا
Albert, ألبرت
Einstein, أينشتاين
Pauline, پولين
Hermann, هيرمان
Nejla, نجلاء
Şakir, شاکر
Cumhur, جمهور
Ozcan, اوزجان
selehattin, صلاحالدّين
Dede, ده ده
Sebahat, صباحت
Nejdet, نجدت
Şehriye, شهريه
Mumin, مؤمن
Eşe, أشه
Ayse, عائشة
Sebiha, صبيحه
Tevfik, توفيق
Emsal, امثال
Hava, حوا
serdal, سردال
Muhiddin, محي الدين
Muhittin, محیی‌الدین
Cenap, جناب
Doğuş, دوغوش
Hurşit, خورشيد
Ersal, ارسال
Şahabeddin, شهاب الدين
Şahabettin, شهاب الدين
Sezgin, سزگين
Düriye, دريه
Abdulazim, عبدالعظیم
abdulcebbar, عبدالجبار
Abdulhalim, عبدالحلیم
Abdulhey, عبدالحی
Abdurrafi, عبدالرافع
Abdurraşit, عبدالرشید
Afak, آفاق
Afşin, اَفشین
Ahenk, آهنگ
Ahmet Ali, احمدعلی
Ahmet Rıza, احمدرضا
Ahmet Talha, احمدطاها
Ala, آلا
Ali Ekber, علی‌اکبر
Ali Paşa, علی‌پاشا
Almira, المیرا
Altın, آلتین
Amanda, اَماندا
Amir, عامِر
Ammar, عَمار
Anise, آنیسا
Arafat, عَرفات
Arafe, عَرَفه
Aral, آرال
Aras, آراس
Araz, آراز
Arife Zehra, عارفه‌زهرا
Armin, آرمین
Armina, آرمینا
Armine, آرمینه
Arş, عرش
Arşan, آرشان
Artan, آرتان
Asil, اصیل
Asim, آسیم
Asker, عسکر
Atanaz, آتاناز
Atena, آتنا
Ateş, آتش
Atlas, اطلس
Ayaz, اَیاز
Aynaz, آیناز
Aynuş, آینوش
Aysan, آیسان
Ayşen, آی‌شن
Ayşin, آیشین
Azad, آزاد
Azizullah, عزیزالله
bahire, باهِره
Basil, باسِل
Basiret, بَصیرت
Basit, باسِط
Bediuzzaman, بَدیع‌الزمان
Behlül, بُهلول
Behzat, بِهزاد
Bektaş, بَکتاش
Bereket, بَرکت
Bersam, بَرسام
Berşam, بَرشام
Beşar, بَشار
Bidar, بیدار
Bina, بینا
Burhaneddin, بُرهان‌الدین
Büstan, بوستان
Cabbar, جبار
Cabir, جابر
Cafer, جعفر
Canyar, جانیار
Cavidan, جاویدان
Cavit, جاوید
Celaleddin, جلال‌الدین
Celiliddin, جلیل‌الدین
Cemşit, جمشید
Cennat, جَنات
Cercis, جرجیس
Cibril, جبریل
Civanmert, جوانمرد
Çabuk, چابک
Çavuş, چاووش
Çehre, چهره
Daime, دائمه
Danyal, دانیال
Delile, دلیله
Destan, دَستان
Deyyan, دَیّان
Dindar, دیندار
Diyana, دیانا
Diyar, دیار
Dora, دُرا
Dünya, دنیا
Eflatun, افلاطون
Efşan, اَفشان
Ekber, اکبر
Emina, امینا
Eminullah, امین‌الله
Eminüddin, امین‌الدین
Emir Adnan, امیرعدنان
Emir Bahadır, امیربهادر
Emir Behzat, امیربهزاد
Emir Cavit, امیرجاوید
Emir Cevat, امیرجواد
Emir Erman, امیرآرمن
Emir Eyyüp, امیرایوب
Emir Fazlullah, امیرفضل‌الله
Emir Haşem, امیرهاشم
Emir Himmet, امیرهمت
Emir Hümayun, امیرهمایون
Emir İrfan, امیرعرفان
Emir Mansur, امیرمنصور
Emir Mehdi, امیرمهدی
Emir Merdan, امیرمردان
Emir Mesut, امیرمسعود
Emir Metin, امیرمتین
Emir Muhsin, امیرمحسن
Emir Muzaffer, امیرمظفر
Emir Nizam, امیرنظام
Emir Raşit, امیررشید
Emir Rıza, امیررضا
Emir Sadık, امیرصادق
Emir Salih, امیرصالح
Emir Suheyl, امیرسهیل
Emir Vahit, امیروحید
Emir Yasin, امیریاسین
Emir Yedullah, امیریدالله
Endişe, اندیشه
Enfal, اَنفال
Enuş, اَنوش
Erdevan, اَردوان
Ersam, اَرسام
Ersan, آرسان
Erşam, اَرشام
Erşan, اَرشان
Erşin, اَرشین
Esedullah, اسدالله
Eset, اَسد
Esmer, اَسمر
Esrin, اَسرین
Fazlullah, فضل‌الله
Ferah, فَرح
Ferzan, فرزان
Feyzullah, فیض‌الله
Firaset, فراست
Firuze, فیروزه
Füruzan, فروزان
Gülbahar, گل بهار
Güldane, گلدانه
Gülnar, گلنار
Gülru, گلرو
Habibullah, حبیب الله
Hadis, حدیث
Hadise, حدیثه
Hafizullah, حفیظ‌الله
Hakim, حکیم
Halife, حلیفه
Halile, خلیله
Halilullah, خلیل‌الله
Halilurrahman, خلیل‌الرحمان
Hamdullah, حمدالله
Hami, حامی
Hamidullah, حمیدالدین
Hammat, حَمّاد
Haniye, حانیه
Hannan, حَنّان
Hanzala, حَنظله
Hasna, حَسْنا
Haşmet, حشمت
Haşmetullah, حشمت‌الله
Hatıra, خاطِره
Havar, خاور
Haydar Ali, حیدرعلی
Hayyam, خیام
Heybetullah, هیبت‌الله
Hicret, هجرت
Himmet, هِمت
Himmetullah, هِمت‌الله
Hirat, هیراد
Huccet, حُجت
Huccetullah, حُجت‌الله
Humeyra, حمیرا
Hurriye, حُریه
Hüda, هُدی
Hümayun, هُمایون
Hür, هور
Hürmet, حُرمت
Hürmuz, هرمز
Hürşat, هورشاد
Hürşit, هورشید
Ismet, عصمت
İftihar, اِفتخار
İkram, اِکرام
İlay, ایل‌آی
İlize, اِلیزه
İlnaz, اِلناز
İltica, اِلتِجا
İltifat, اِلتفات
İnayet, عنایت
İntisar, اِنتصار
İran, ایران
İrşat, اِرشاد
İslam, اسلام
İtibar, اِعتبار
İtimat, اِعتماد
İzzetullah, عزت‌الله
Kadim, قدیم
Kadire, قدیره
Kamus, کاموس
Kelimullah, کلیم الله
Kemalettin, کمال‌الدین
Keramet, کرامت
Keykubat, کِیقباد
Kimya, کیمیا
Kutsi, قُدسی
Laçin, لاچین
Lalezar, لاله‌زار
Latif, لَطیف
Letafet, لطافت
Lütfullah, لطف‌الله
Mahbube, محبوبه
Mahbup, محبوب
Mahcihan, ماه‌جهان
Mahcup, محجوب
Mahide, ماهِده
Mahmude, محموده
Mahpeyker, ماه‌پیکر
Mahya, مَحیا
Maksude, مقصوده
Mardin, ماردین
Marifet, معرفت
Marifetullah, معرفت‌الله
Marziye, مَرضیه
Masum, معصوم
Masume, معصومه
Maşaallah, ماشاءالله
Maviş, ماویش
Mazhar, مَظهر
Melihe, مَلیحه
Memduh, مَمدوح
Meram, مَرام
Merhamet, مرحمت
Mersin, مَرسین
Mesih, مسیح
Mesrur, مَسرور
Mesture, مَستوره
Meşhur, مشهور
Meşkat, مشکات
Metanet, متانت
Meyhoş, میخوش
Meymanat, میمنت
Mezit, مَزید
Mihban, مِهبان
Mihrak, مِهرک
Mihrap, مِهراب
Mihri, مِهری
Mihribanu, مِهربانو
Milat, میلاد
Mirsat, مِرصاد
Mirşat, میرشاد
Misak, میثاق
Muazzam, مُعظم
Mucip, مُجیب
Mucit, مَجید
Muhabbet, محبت
Muhacir, مُهاجر
Muhaddis, مُحَدِث
Muhit, محیط
Muhsine, محسنه
Muhterem, محترم
Muhteşem, محتشم
Musaddık, مصدق
Muttaki, متقی
Mübin, مبین
Müferrah, مُفَرِح
Müfide, مُفیده
Müfit, مُفید
Müjde, مژده
Mükerrem, مُکَرم
Mülayim, ملایم
Mümtaz, ممتاز
Münip, مُنیب
Mürivvet, مُروت
Mürsel, مُرسَل
Müşfik, مشفق
Müştak, مشتاق
Mütevekkil, متوکل
Nafile, نافله
Nahit, ناهید
Nara, نارا
Nâsıreddin, ناصرالدین
Nasraddin, نَصرالدین
Nasrullah, نَصرالله
Natık, ناطق
Nazanin, نازنین
Nazperi, نازپری
Nebi, نَبی
Nebiyullah, نَبی‌الله
Necat, نِجات
Necibettin, نَجیب‌الدین
Neime, نَعیمه
Nerimen, نَریمن
Neşat, نشاط
Neşvet, نشواد
Nevbahar, نوبهار
Nimetullah, نِعمت‌الله
Nirvan, نیروان
Niyavent, نیاوند
Niyaz, نیاز
Nizamettin, نِظام‌الدین
Nurulayn, نورالعین
Nurulhak, نورالحق
Nusretullah, نُصرت‌الدین
Payam, پَیام
Pehlivan, پهلوان
Peri, پری
Perigül, پری‌گل
Perinaz, پری‌ناز
Rafet, رأفت
Rafetullah, رأفت‌الله
Rahim, رحیم
Rahman, رحمان
Rahmetullah, رحمت‌الله
Rahşan, رَخشان
Rasul, رَسول
Rauf, رئوف
Ravi, راوی
Ressam, رَسام
Ruhullah, روح‌الله
Rüstem, رُستم
Rüşdiye, رُشدیّه
Saba, سبا
Sabih, صَبیح
Sadakat, صداقت
Sadri, صدری
Sahabe, صاحبه
Sahil, ساحل
Salahuttin, صلاح‌الدین
Samira, سَمیرا
Saray, سارای
Sare, ساره
Sayan, سایان
Sehlan, ثَهلان
Selamet, سَلامت
Senaullah, ثَناءالله
Serment, سَرمد
Settar, سَتار
Sevin, سوین
Sevinc, سوینج
Seyfettin, سِیف‌الدین
Sufi, صوفی
Sunay, سُونای
Sur, سُور
Surahi, صُراحی
Suut, سُعود
Sülale, سُلاله
Süna, سُونا
Süraye, سُرایه
Sürur, سُرور
Şadan, شادان
Şadıman, شادمان
Şahide, شاهیده
Şahit, شاهد
Şanlı, شانلی
Şarmin, شارمین
Şayan, شایان
Şefaat, شفاعت
Şefike, شفیقه
Şehabettin, شهاب‌الدین
Şehbaz, شهباز
Şehre, شهره
Şehriyar, شهریار
Şekibe, شکیبا
Şekip, شکیب
Şemide, شَمیده
Şemis, شمیس
Şems, شمس
Şemsi, شمسی
Şerafettin, شَرف‌الدین
Şeriat, شریعت
Şervin, شروین
Şuayip, شُعَیب
Şukufe, شکوفه
Tahire, طاهره
Tahmin, تهمین
Tamara, تامارا
Tanış, تانیش
Tanin, طنین
Tarak, تارک
Tarhan, تَرخان
Tarif, طارف
Tasnim, تسنیم
Tavus, طاووس
Taylan, تایلان
Taymaz, تایماز
Taynur, تای‌نور
Tayyibe, طَیبه
Tebessüm, تبسم
Tecelli, تَجلی
Tevhit, توحید
Teymur, تیمور
Tural, تورال
Turap, تُراب
Tüfan, توفان
Ubeydullah, عُبیدالله
Usame, اُسامه
Ümit Rıza, امیدرضا
Üveys, اویس
Vacide, واحده
Vacit, واجد
Vahap, وَهَب
Vahhap, وهاب
Vahidüddin, وحیدالدین
Vahip, واهِب
Varan, واران
Vasıl, واصل
Vecihe, وَجیهه
Vefa, وَفا
Vehide, وحیده
Veliyullah, ولی‌الله
Virdan, وِردان
Visal, وِصال
Visam, وِسام
Viyana, ویانا
Yakut, یاقوت
Yalan, یَلان
Yanar, یانار
Yanık, یانیک
Yarullah, یارالله
Yasemen, یاسمن
Yaşil, یاشیل
Yaver, یاور
Yaz, یاز
Yazgül, یازگول
Yedullah, یدالله
Yegane, یگانه
Yemin, یَمین
Yeminullah, یَمین‌الله
Yenal, یَنال
Yezdan, یَزدان
Zahir, ظاهر
Zakir, ذاکر
Zaman, زمان
Zamane, زمانه
Zavoş, زاوش
Zêhir, زاهر
Zeka, ذَکا
Zemzem, زمزم
Zeyniddin, زین‌الدین
Zeyt, زِید
Zikrullah, ذِکرالله
Zinet, زینت
Ziver, زیور
Ziyaulhak, ضیاء‌الحق
Zuhal, زُحَل
Zübeyr, زُبیر
Zühra, زُهره
Hüdavendigar, خداوندگار
Beyazit, بايزيد
Vahdettin, وحيد الدين
Vahdeddin, وحيد الدين
Maşite, ماشطه
Azem, عازم
sera, سرا
Alya, عليا
Gülfem, گلفام
Mihrimah, مهرماه
