tr isim,os_isim 
Emin, امين
Emine, امنه
Enise, اَنیسه
Bedri, بَدری
Bedriye, بدریه
Bekir, بكر
Bilal, بِلال
Belkıs, بِلقیس
Celal, جلال
Cemil, جَمیل
Cemile, جَمیله
Cevahir, جواهر
Cevriye, جورييه
Hafız, حافظ
Hamit, حامد
Habip, حبیب
Habibe, حبیبه
Hasan, حسن
Hüseyin, حسین
Husna, حُسنی
Hafsa, حَفصه
Halime, حلیمه
Hamza, حمزه
Hanife, حنیفه
Halit, خالِد
Halide, خالِده
Hatice, خدیجه
Halil, خلیل
Hayri, خيري
Raşit, راشد
Refik, رفيق
Zekiye, ذَکیه
Zeliha, زليحا
Zehra, زهرا
Salim, سالم
Sami, سامی
Selim, سَلیم
Salime, سالمه
Sait, سَعد
Sakine, سَکینه
Sultan, سلطان
Selva, سِلوا
Selime, سَلیمه
Şahin, شاهین
Şerif, شریف
Şeyma, شيما
Sadık, صادق
Salih, صالح
Saliha, صالحه
Tarık, طارق
Zafer, ظافر
Abit, عابد
Arif, عارف
Atıf, عاطِف
Aliye, عالیه
Abbas, عباس
Abdullah, عبد الله
Abdulhamit, عبد الحميد
Abdulhakim, عبد الحكيم
Abdulcelil, عبد الجليل
Abdulhalık, عبد الخالق
Abdulkadir, عبد القادر
Abdulaziz, عبد العزيز
Abdurrahman, عبد الرحمن
Abdurrahim, عبد الرحيم
abdulkerim, عبد الكريم
abdullatif, عبد اللطيف
abdulvahit, عبد الواحد
Adnan, عَدنان
Aziz, عزیز
Azize, عزیزه
Afra, افرا
İmran, إمرن
Galip, غالب
Fatih, فاتح
Faruk, فاروق
Fatma, فاطمه
Feride, فریده
Fevziye, فوزيه
Kazım, کاظم
Kamil, کامل
Kerim, کریم
Kerime, کریمه
Kemal, کمال
Kevser, كوثر
Latife, لتيفه
Macit, ماجد
Macide, ماجده
Malik, مالِک
Mübarek, مبارک
Mahmut, محمود
Muhsin, محسن
Murat, مُراد
Mervan, مَروان
Mesut, مسعود
