isim,osm,ebced
yakup, یعقوب,188
i̇msak, إمساك,122
güneş, كونش,376
i̇şrak, اِشراق,602
öğle, اوگله,62
i̇kindi, ايكندى,95
akşam, آقشام,442
yatsı, ياتسي,481
tarih, تاريخ,1211
namaz vakitleri, نماز وقتلري,844
namaz, نماز,98
vakitler, وقتلر,736
vakit, وقت,506
ezan saatleri,  ازان ساعتلري,830
ezan, ازان,59
saat, ساعت,531
osmanlıca, عثمانليجه,709
osmanlı, عثمانلي,701
osman, عثمان,661
i̇msak vakti, إمساك وقتي,638
öğle namazı, اوگله نمازي,170
i̇kindi namazı, ايكندى نمازي,203
akşam namazı, آقشام نمازي,550
sabah namazı, صباح نمازي,209
yatsı namazı, ياتسي نمازي,589
çağdaş, چاغداش,1309
bu, بو,8
teravih namazı, تراويح نمازى,733
teravih, تراويح,625
başlıyor, باشلايور,550
aşure, عاشورا,578
abdest, آبدست,467
abdesthane, آبدستخانه,1123
abes, عبث,572
abide, آبده,12
acaib, عجائب,86
acele, عجله,108
acaba, عجبا,76
acem, عجم,113
acemi, عجمی,123
acil, عاجل,104
acilen, عاجل,104
aciz, عاجز,81
acizane, عاجزانه,137
adap, آداب,8
adalet, عدالت,505
adet, عادات,476
aded, عدد,78
adem, آدم,45
adeta, عادتا,476
adil, عادل,105
adliyye, عدليه,119
afaki, آفاقی,192
afet, آفات,482
aferin, آفرین,341
afetzede, آفت زده,497
afiyet, عافيت,561
afrika, افریقا,392
efsun, افسون,197
af, عفو,156
agah, آگاه,27
ahali, اهالی,47
ahbap, احباب,14
ahid, عهد,79
ahıret, آخرت,1201
ahıze, آخذه,1306
ahkam, احکام,70
ahlak, اخلاق,732
ahlat, اخلاط,641
ahmak, احمق,149
ahya, احيا,20
akaid, عقائد,185
akdem, اقدم,145
akıbet, عاقبت,573
âkıl, عاقِل,201
akraba, اقرباء,305
akrep, عقرب,372
alaka, علاقه,206
alakadar, علاقه دار,411
alemet, علامت,541
ocak, اوجاق,111
şubat, شباط,312
mart, مارت,641
nisan, نيسان,171
mayıs, مايس,111
haziran, خزيران,868
temmuz, تموز,453
ağustos, آغستس,1521
eylül, ايلول,77
ekim, أكيم,71
kasım, قاسم,201
aralık, آرالق,332
pazartesi, پازارايرتسى,892
salı, سالی,101
çarşamba, چارشانبا,558
perşembe, پرشنبه,559
cuma, جمعه,118
cumartesi, جمعه اي رتسى,799
pazar, پازار,211
muharrem, محرم,288
safer, صفر,370
rebiül-evvel, ربيع اﻻول,350
rebiül-âhir, ربيع اﻻآخره,1120
cumâdel-evvel , جمادى اﻻولى,136
cumâdel-âhir, جمادى اﻻآخره,896
recep, رجب,205
şaban, شعبان,423
ramazan, رمضان,1091
şevval, شوال,337
zilkade, ذى القعده,920
zilhicce, ذى الحجه,757
at, ات,401
fay, فاي,91
yay, ياي,21
vay, واي,17
ay, اي,11
ayna, آینا,62
ayı, ايي,21
arı, اري,211
ana, آنا,52
araba, ارابا,205
kova, قوو,112
on, ا ون,57
oyun, اويون,73
ot, ا وط,16
ok, ا وق,107
göl, گول,56
körük, كوروك ,252
ördek, اوردك,231
öküz, اوكوز,40
göz, گوز,33
muhammet, محمد,92
mehmet, محمد,92
ahmet, احمد,53
mustafa, مصطف,219
âli, عالی,111
meryem, مریم,290
ömer, عُمر,310
i̇hsan, اِحسان,120
i̇smail, اسماعیل,212
esma, اَسما,102
emir, امیر,251
emire, أميرة,651
yasin, یاسین,131
emin, امين,101
emine, امنه,96
enise, اَنیسه,126
bedri, بَدری,216
bedriye, بدریه,221
bekir, بكر,222
bilal, بِلال,63
belkıs, بِلقیس,202
celal, جلال,64
cemil, جَمیل,83
cemile, جَمیله,88
cevahir, جواهر,215
cevriye, جورييه,234
hafız, حافظ,989
hamit, حامد,53
habip, حبیب,22
habibe, حبیبه,27
hasan, حسن,118
hüseyin, حسین,128
husna, حُسنی,128
hafsa, حَفصه,183
halime, حلیمه,93
hamza, حمزه,60
hanife, حنیفه,153
halit, خالِد,635
halide, خالِده,640
hatice, خدیجه,622
halil, خلیل,670
hayri, خيري,820
raşit, راشد,505
refik, رفيق,390
zekiye, ذَکیه,735
zeliha, زليحا,56
zehra, زهرا,213
salim, سالم,131
sami, سامی,111
selim, سَلیم,140
salime, سالمه,136
sait, سَعد,134
sakine, سَکینه,145
sultan, سلطان,150
selva, سِلوا,97
selime, سَلیمه,145
şahin, شاهین,366
şerif, شریف,590
şeyma, شيما,351
sadık, صادق,195
salih, صالح,129
saliha, صالحه,134
tarık, طارق,310
zafer, ظافر,1181
abit, عابد,77
arif, عارف,351
atıf, عاطِف,160
aliye, عالیه,116
abbas, عباس,133
abdullah, عبد الله,142
abdulhamit, عبد الحميد,169
abdulhakim, عبد الحكيم,185
abdulcelil, عبد الجليل,180
abdulhalık, عبد الخالق,838
abdulkadir, عبد القادر,412
abdulaziz, عبد العزيز,201
abdurrahman, عبد الرحمن,405
abdurrahim, عبد الرحيم,365
abdulkerim, عبد الكريم,377
abdullatif, عبد اللطيف,236
abdulvahit, عبد الواحد,126
adnan, عَدنان,175
aziz, عزیز,94
azize, عزیزه,99
afra, افرا,282
i̇mran, إمرن,291
galip, غالب,1033
fatih, فاتح,489
faruk, فاروق,387
fatma, فاطمه,135
feride, فریده,299
fevziye, فوزيه,108
kazım, کاظم,961
kamil, کامل,91
kerim, کریم,270
kerime, کریمه,275
kemal, کمال,91
kevser, كوثر,726
latife, لتيفه,525
macit, ماجد,48
macide, ماجده,53
malik, مالِک,91
mübarek, مبارک,263
mahmut, محمود,98
muhsin, محسن,158
murat, مُراد,245
mervan, مَروان,297
mesut, مسعود,180
münir, منير,300
münire, مُنیره,305
mehdi, مهدی,59
naile, نائله,96
naci, ناجی,64
naciye, ناجیه,69
nasır, ناصر,341
nebil, نَبیل,92
nebile, نبيله,97
necla, نَجلا,84
nesim, نَسیم,160
nesibe, نَسیبه,127
numan, نعمان,211
naime, نائمه,106
naim, نَعیم,170
nefise, نَفیسه,205
neval, نَوال,87
nur, نور,256
nesrin, نسرین,370
nihat, نهاد,60
nadire, نادره,260
hacer, حجر,211
haşim, هاشم,346
hadiye, هادیه,25
hilal, هلال,66
hifa, هيفاء,97
velit, ولید,50
verda, وَردا,211
yasir, یاسر,271
yasemin, یاسمین,171
yusuf, یوسف,156
yunus, یونس,126
cihat, جهاد,13
ceyda, جيدا,18
cihan, جهان,59
murtaza, مرتضی,1450
musab, مصعب,202
nuran, نوران,307
ebrar, اَبرار,404
celil, جلیل,73
cennet, جَنت,453
hayriye, خيريه,825
remzi, رمزى,257
selman, سَلمان,181
semra, سَمرا,301
sündüs, سُندُس,174
şermin, شَرمین,600
şerife, شریفه,595
şefik, شفیق,490
şemsettin, شمس الدين,495
sıdkı, صدقي,204
tahir, طاهر,215
adile, عَدیله,119
alime, عالمه,146
ferit, فَرید,294
kamile, کامله,96
maya, مایا,52
muhtar, مختار,1241
mercan, مرجان,294
neriman, نَریمان,351
nurettin, نور الدين,351
vehbi, وهبي,23
yaman, يامن,101
melek, ملاك,91
sacit, ساجد,68
sacide, ساجده,73
asım, اصم,131
fazıl, فاضل,911
fahri, فخری,890
kâdir, قادر,305
kenan, کنعان,191
mahir, ماهر,246
yezit, يزيد,31
i̇brahim, اِبراهیم,259
süleyman, سلیمان,191
nermin, نرمين,350
şehrazat, شهرزاد,517
şirin, شیرین,570
feryal, فريال,321
i̇shak, اِسحاق,170
i̇lyas, الیاس,102
eyyüp, ایوب,19
